module	repo	own_tests	stars
fzf	junegunn/fzf	1	81289
curl	curl/curl	1	42251
llvm-project	llvm/llvm-project	3	39009
rocksdb	facebook/rocksdb	2	31809
folly	facebook/folly	1	30438
openssl	openssl/openssl	1	30378
zstd	facebook/zstd	1	27295
sdl2	libsdl-org/SDL	2	15989
brotli_go	google/brotli	1	14774
cjson	DaveGamble/cJSON	1	12815
libevent	libevent/libevent	1	11919
xxhash	Cyan4973/xxHash	1	11112
glm	g-truc/glm	1	11049
libgit2	libgit2/libgit2	1	10502
iperf	esnet/iperf	1	8571
proxygen	facebook/proxygen	1	8354
glog	google/glog	1	7354
cxx.rs	dtolnay/cxx	1	6757
tinyxml2	leethomason/tinyxml2	1	5779
libwebsockets	warmcat/libwebsockets	1	5302
ceres-solver	ceres-solver/ceres-solver	5	4504
briansmith_ring	briansmith/ring	1	4094
behaviortree_cpp	BehaviorTree/BehaviorTree.CPP	1	4091
flex	westes/flex	1	4028
verilator	verilator/verilator	1	3704
gtsam	borglab/gtsam	1	3554
icu	unicode-org/icu	1	3540
iverilog	steveicarus/iverilog	1	3512
bazel_gomock	uber-go/mock	1	3378
avro-cpp	apache/avro	1	3278
libpcap	the-tcpdump-group/libpcap	1	3130
wangle	facebook/wangle	1	3097
fftw	FFTW/fftw3	2	3082
basis_universal	BinomialLLC/basis_universal	1	3052
ghdl	ghdl/ghdl	1	2838
s2geometry	google/s2geometry	1	2684
sqlite_orm	fnc12/sqlite_orm	1	2671
cpu_features	google/cpu_features	1	2611
rsyslog	rsyslog/rsyslog	1	2310
libheif	strukturag/libheif	1	2261
libavif	AOMediaCodec/libavif	1	2124
iceoryx	eclipse-iceoryx/iceoryx	3	2114
tomlplusplus	marzer/tomlplusplus	1	2085
lexbor	lexbor/lexbor	1	2026
libde265	strukturag/libde265	1	1891
simdutf	simdutf/simdutf	1	1845
directxmath	microsoft/DirectXMath	1	1782
mvfst	facebook/mvfst	1	1652
libexpat	libexpat/libexpat	1	1346
nsync	google/nsync	1	1275
lexy	foonathan/lexy	1	1245
libunwind	libunwind/libunwind	1	1234
aravis	AravisProject/aravis	1	1233
cityhash	google/cityhash	1	1230
fizz	facebookincubator/fizz	1	1196
exprtk	ArashPartow/exprtk	1	999
libgd	libgd/libgd	1	982
gsl-lite	gsl-lite/gsl-lite	1	978
lanelet2	fzi-forschungszentrum-informatik/Lanelet2	1	951
squashfs-tools	plougher/squashfs-tools	1	917
nvc	nickg/nvc	1	850
rules_rust	bazelbuild/rules_rust	1	816
opencl-sdk	KhronosGroup/OpenCL-SDK	1	766
sdl2_mixer	libsdl-org/SDL_mixer	2	728
systemc	accellera-official/systemc	1	673
marisa-trie	s-yata/marisa-trie	4	623
hfsm2	andrew-gresyk/HFSM2	1	616
rules_apple	bazelbuild/rules_apple	1	587
c-blosc2	Blosc/c-blosc2	1	570
tinyformat	c42f/tinyformat	1	561
riegeli	google/riegeli	1	483
asio-grpc	Tradias/asio-grpc	2	468
ogg	xiph/ogg	2	425
xkbcommon	xkbcommon/libxkbcommon	3	359
cucumber-cpp	cucumber/cucumber-cpp	1	328
io_opentracing_cpp	opentracing/opentracing-cpp	1	319
boost.mysql	boostorg/mysql	1	296
xds	cncf/xds	1	269
libdwarf	davea42/libdwarf-code	1	256
universal-robots-client-library	UniversalRobots/Universal_Robots_Client_Library	2	196
rules_multirun	keith/rules_multirun	1	113
trlc	bmw-software-engineering/trlc	1	104
effcee	google/effcee	2	103
cxxurl	chmike/CxxUrl	1	94
google_bazel_common	google/bazel-common	1	90
zziplib	gdraheim/zziplib	1	70
libfastjson	rsyslog/libfastjson	1	60
reflexxes-rmltype2	Reflexxes/RMLTypeII	8	54
libcreate	AutonomyLab/libcreate	6	49
ccronexpr	exander77/supertinycron	1	48
rules_perl	bazelbuild/rules_perl	1	31
rules_ml_toolchain	google-ml-infra/rules_ml_toolchain	1	29
rules_cue	seh/rules_cue	1	23
libestr	rsyslog/libestr	1	12
boost.foreach	boostorg/foreach	1	11
rules_kustomize	seh/rules_kustomize	1	10
bazel_worker_java	bazelbuild/bazel-worker-api	1	8
rules_swift_previews	jhodsdon/rules_swift_previews	1	8
pplib	contextgarden/pplib	1	7
rules_cc_resources	ClangTools/rules_cc_resources	1	3
rules_mayhem	ForAllSecure/rules_mayhem	1	3
gazelle_d	dcarp/gazelle_d	1	0
jeffmanzione_intern	jeffmanzione/intern	1	0
jeffmanzione_rzalloc	jeffmanzione/rzalloc	1	0
rules_heir	j2kun/rules_heir	1	0
