proj	key	version	build	test	test_summary
abseil_cpp	absl	9.1.1	ok	ok	Executed 251 out of 251 tests: 251 tests pass.
bazel	bazel	9.1.1	ok	ok	Executed 15 out of 15 tests: 14 tests pass and 1 fails locally.
benchmark	benchmark	8.7.0	ok	ok	Executed 0 out of 49 tests: 49 tests pass.
boringssl	boringssl	9.1.1	ok	ok	Executed 2 out of 2 tests: 2 tests pass.
brotli	brotli	8.7.0	fail	none	
brotli_go	brotli	8.7.0	fail	none	
buildtools	buildtools	8.7.0	ok	ok	Executed 5 out of 5 tests: 5 tests pass.
catch2	catch2	9.1.1	ok	fail	
cctz	cctz	8.7.0	ok	ok	Executed 0 out of 1 test: 1 test passes.
cli11	cli11	8.7.0	ok	ok	Executed 1 out of 9 tests: 9 tests pass.
copybara	copybara	9.1.1	ok	ok	Executed 220 out of 220 tests: 216 tests pass and 4 fail locally.
cpu_features	cpu_features	8.7.0	ok	ok	Executed 0 out of 4 tests: 4 tests pass.
cxx	cxx	9.1.1	ok	fail	
doctest	doctest	9.1.1	includes-dot	skip-build	
fast_float	fast_float	8.7.0	ok	ok	Executed 2 out of 2 tests: 2 tests pass.
flatbuffers	flatbuffers	8.7.0	ok	ok	Executed 1 out of 1 test: 1 test passes.
ftxui	ftxui	8.7.0	ok	ok	Executed 1 out of 1 test: 1 test passes.
glog	glog	8.7.0	ok	ok	Executed 1 out of 1 test: 1 test passes.
googletest	googletest	8.7.0	ok	ok	Executed 41 out of 41 tests: 41 tests pass.
gperftools	gperftools	8.7.0	ok	ok	Executed 1 out of 1 test: 1 test passes.
grpc	grpc	8.7.0	no-host-cc	skip-build	
highway	highway	8.7.0	ok	ok	Executed 5 out of 5 tests: 5 tests pass.
json	json	9.1.1	ok	none	
jsoncpp	jsoncpp	9.1.1	ok	ok	Executed 1 out of 1 test: 1 test passes.
jsonnet	jsonnet	8.7.0	ok	ok	Executed 3 out of 3 tests: 3 tests pass.
magic_enum	magic_enum	9.1.1	ok	fail	
nsync	nsync	8.7.0	ok	ok	Executed 7 out of 7 tests: 7 tests pass.
onetbb	onetbb	8.7.0	ok	ok	Executed 4 out of 4 tests: 4 tests pass.
opencc	opencc	8.7.0	ok	none	
ortools	ortools	8.7.0	ok	ok	Executed 89 out of 89 tests: 88 tests pass and 1 fails locally.
protobuf	protobuf	9.1.1	ok	ok	Executed 101 out of 102 tests: 100 tests pass, 1 fails locally, and 1 was skippe
re2	re2	8.7.0	ok	ok	Executed 0 out of 16 tests: 16 tests pass.
snappy	snappy	8.7.0	ok	ok	Executed 1 out of 1 test: 1 test passes.
zlib	zlib	9.1.1	ok	none	
